Borough,Householder's Sex,Householder's Age,Householder's Race,Number of Persons form Temporary Residence,Most Recent Place Householder Lived for 6 Months or More,Year Householder Moved Into Unit ,Reason for Householder Moving,Place of Householder's Birth,Condo/Coop Status,Owner/Renter,Cash Rent/Rent Free,Down Payment,Down Payment Status,Value,Mortgage Status,Mortgage Origination Year,Mortgage Interest Rate,Insurance Paid Separately,Real Estate Taxes Paid Separately,Number of Units in Building,Owner Lives in Building,Number of Stories in Building,Number of Rooms ,Number of Bedrooms,Complete Plumbing Facilities ,Toilet Breakdowns,Complete Kitchen Facilities ,Kitchen Facilities Functioning,Type of Heating Fuel,Electricity Paid Separately,Electricity Monthly Cost ,Gas Paid Separately,Gas Monthly Cost ,Combined Gas/Electricity Monthly Cost,Water and Sewer Paid Separately,Water and Sewer Annual Cost,Other Fuels,Other Fuels Annual Cost ,Monthly Contract Ren,Length of Lease,Federal Section 8,Other Rental Subsidy,Out of Pocket Rent,Householder Moved to the United States as an Immigrant ,Year Householder Moved to the United States,Year Householder Moved to New York City,Control Status,Monthly Owner Cost,Monthly Gross Rent,Monthly Gross Rent per room,Monthly Contract Rent Per Room,Household Below Specified Income Level,Total Household Income,Income Flag,Monthly Gross Rent as Percent of Household Income,Monthly Contract Rent as Percent of Household Income
1,1,37,2,1,8,2013,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,5,1,2,5,3,2,2,2,1,4,1,90,2,9999,9999,2,9999,2,99999,1200,2,2,2,1200,9,9999,1982,80,999999,1290,258,240,3,80000,0,194,180
1,2,32,2,1,3,2015,2,17,11,1,9,9999999,9,9999999,9,9999,9999,9,9,12,2,5,3,2,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,1600,4,1,2,450,1,1993,1994,30,999999,1600,533,533,1,19000,0,1010,1010
1,2,30,2,2,3,2016,2,14,9,1,9,9999999,9,9999999,9,9999,9999,9,9,12,2,5,4,3,1,1,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,2240,2,1,2,540,9,9999,2011,30,999999,2240,560,560,1,19440,0,1010,1010
1,1,57,2,2,3,2013,2,99,9,1,9,9999999,9,9999999,9,9999,9999,9,9,12,2,5,1,1,1,2,1,1,1,3,9999,2,9999,9999,2,9999,2,99999,1500,4,1,1,215,9,9999,9999,30,999999,1500,1500,1500,1,9600,0,1010,1010
1,1,63,1,1,3,1999,2,99,9,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,4,2,2,1,2,1,1,1,1,53,2,9999,9999,2,9999,2,99999,1100,2,2,2,1100,9,9999,9999,30,999999,1153,577,550,3,26600,0,520,496
1,2,43,1,1,3,2015,2,13,10,1,9,9999999,9,9999999,9,9999,9999,9,9,10,2,3,4,3,1,2,1,1,2,2,9999,9,9999,50,2,9999,3,99999,1200,2,2,2,1200,9,9999,2003,30,999999,1250,313,300,3,82000,0,183,176
1,2,43,1,1,3,2015,1,19,13,1,9,9999999,9,9999999,9,9999,9999,9,9,10,2,3,3,3,1,2,1,1,2,2,9999,9,9999,70,2,9999,2,99999,1100,4,2,2,1100,1,1990,1990,30,999999,1170,390,367,3,33300,0,422,396
1,2,42,1,1,5,2001,1,99,10,1,1,9999999,9,450000,1,2001,500,2,1,3,1,2,6,4,1,2,1,1,2,1,150,1,200,9999,1,1200,3,99999,99999,9,9,3,99999,9,9999,9999,1,1958,99999,9999,9999,3,97300,0,9999,9999
1,1,63,1,1,3,2001,2,99,14,1,1,9999999,9,450000,1,2001,9998,2,2,3,1,1,3,2,1,2,1,1,2,1,260,1,344,9999,1,1200,3,99999,99999,9,9,3,99999,1,1977,1977,1,1920,99999,9999,9999,1,1943,0,9999,9999
1,1,60,1,1,6,2001,2,99,9,1,9,9999999,9,9999999,9,9999,9999,9,9,7,2,1,2,2,1,2,1,1,3,1,60,2,9999,9999,2,9999,2,99999,880,2,2,2,880,9,9999,9999,5,999999,940,470,440,3,54000,0,209,196
